Nombre,Final,Máximo,Mínimo,Volumen,Efectivo
ACCIONA,95.95,96.75,94.4,84962.0,8166.11
ACERINOX,8668.0,8672.0,8468.0,88599.0,7633.81
ACS,37.28,37.66,37.22,655982.0,24517.29
AENA,167.1,167.5,166.1,133738.0,22336.1
AMADEUS,69.96,70.64,69.56,640476.0,44795.47
ARCELORMIT.,14152.0,14318.0,14.08,702841.0,9989.65
BA.SABADELL,1.0165,1033.0,1.0165,12358512.0,12637.65
BA.SANTANDER,4.02,4.0675,4.01,36129692.0,145765.44
BANKIA,2249.0,2262.0,2224.0,3024454.0,6803.54
BANKINTER,6.56,6604.0,6522.0,1375976.0,9030.2
BBVA,5024.0,5.05,4969.0,26447612.0,132560.15
CAIXABANK,2763.0,2806.0,2762.0,13031097.0,36239.22
CELLNEX,30.17,30.7,30.17,857237.0,25965.29
CIE AUTOMOT.,23.44,23.74,23.4,99506.0,2343.09
ENAGAS,25.6,25.66,25.07,84254.0,21524.77
ENCE,3882.0,3974.0,3846.0,2099698.0,8219.83
ENDESA,22.95,23.03,22.62,1236799.0,28233.46
FERROVIAL,21.61,21.72,21.38,2065931.0,44656.05
GRIFOLS CL.A,23.3,23.6,23.27,719503.0,16787.55
IAG,5.3,5.46,5292.0,2155081.0,11561.95
IBERDROLA,8.45,8.45,8262.0,15637958.0,131426.05
INDITEX,24.93,25.19,24.87,2600144.0,65012.92
INDRA A,9.56,9685.0,9535.0,39206.0,3755.57
INM.COLONIAL,9915.0,9915.0,9745.0,671753.0,6640.38
MAPFRE,2654.0,2654.0,2.62,3045972.0,8063.13
MEDIASET,6446.0,6592.0,6446.0,2647557.0,17277.04
MELIA HOTELS,8.14,8.19,8.02,48021.0,3914.93
MERLIN,12.08,12.08,11.83,777543.0,9357.77
NATURGY,26.7,26.77,26.53,2100737.0,55986.54
R.E.C.,19705.0,19875.0,19675.0,1246171.0,24585.33
REPSOL,14515.0,14605.0,14.46,5046648.0,73333.78
SIEMENS GAME,14.33,14.39,14155.0,1054847.0,15084.56
TEC.REUNIDAS,23.0,23.2,22.78,1221.0,2807.19
TELEFONICA,7204.0,7256.0,7185.0,9913249.0,71564.99
VISCOFAN,48.46,49.12,48.46,6771.0,3295.43
